speaker,f1,f2,vowel
S1-3,-1.429156688143037,1.6507986008227074,heed
S1-3,-0.6057004269622721,1.3026298219711276,hid
S1-3,0.3292655362533882,1.2187337306815904,head
S1-3,2.147731446360911,0.5685390231876766,had
S1-3,0.6037509566469765,-0.5682530137855534,hard
S1-3,0.14913447912009586,-0.8367205059120727,hod
S1-3,-0.7257877983844669,-1.713434659887737,hoard
S1-3,-0.04815191678779577,-0.6081036571480836,hood
S1-3,-2.06390422280321,-1.0695321592405387,whod
S1-3,1.084100442335756,-0.18023359157144353,hud
S1-3,0.663794642358074,-0.18652579841815883,heard
S1-4,-1.3221492054686836,1.776655743871168,heed
S1-4,-0.6321763906866528,1.202668087081098,hid
S1-4,-0.06048462986725584,1.0145707806330009,head
S1-4,1.2997474907030333,0.7081854773464094,had
S1-4,1.1486105884174458,-0.6763658299107189,hard
S1-4,1.0369007041194027,-1.0021426080888667,hod
S1-4,-0.1721945141652989,-1.4578422680404426,hoard
S1-4,-0.6584610693450158,-0.5677735705180029,hood
S1-4,-1.4929996167480435,-0.6763658299107189,whod
S1-4,1.1486105884174458,-0.1896398101326528,hud
S1-4,-0.4941818277302466,0.14001526302380632,heard
S1-4,-1.3418627144624558,1.640915419630273,heed
S1-4,-0.5533223547115635,1.22399870946181,hid
S1-4,-0.1524810051715266,0.9951793057414443,head
S1-4,1.1880376064049902,0.7430901321512109,had
S1-4,1.483740241311575,-0.5794084554529368,hard
S1-4,1.0369007041194027,-1.0680736227201586,hod
S1-4,-0.39561428276138505,-1.3919112534091507,hoard
S1-4,-0.6124628816928804,-0.6123739627685827,hood
S1-4,-1.4929996167480435,-0.5464429481372909,whod
S1-4,1.0369007041194027,-0.4494855736795088,hud
S1-4,-0.369329604103022,0.07990169085998142,heard
S1-4,-1.3484338841270467,1.8212561361217479,heed
S1-4,-0.5336088457177912,1.2802339866473238,hid
S1-4,0.24836034436851032,0.9816052733173549,head
S1-4,1.5034537503053473,0.7062463298572538,had
S1-4,1.372030357013532,-0.5154165883108006,hard
S1-4,0.5966323365918211,-1.0351081154045128,hod
S1-4,-0.283904398463342,-1.4578422680404426,hoard
S1-4,-0.6124628816928804,-0.6123739627685827,hood
S1-4,-1.4929996167480435,-0.7093313372263648,whod
S1-4,1.0369007041194027,-0.5464429481372909,hud
S1-4,-0.22476387148202506,0.16522418038282966,heard
